Producer,Wine Name,Award,Score,Country,Region,Sub-region,Vintage,Colour,
Matahiwi Estate,Bruce,Bronze,88,New Zealand,Wairarapa,Masterton,2021,Red,
Marisco Vineyards,The Craft Series 'The Journey' Pinot Noir,Bronze,89,New Zealand,Marlborough,Not Applicable,2021,Red,
Marisco Vineyards,Leefield Station Pinot Noir,Silver,94,New Zealand,Marlborough,Waihopai Valley,2021,Red,
Marisco Vineyards,The Ned Pinot Noir,Silver,91,New Zealand,Marlborough,Waihopai Valley,2021,Red,
Marisco Vineyards,The Craft Series 'The Pioneer' Chardonnay,Silver,94,New Zealand,Marlborough,Waihopai Valley,2021,White,
Lake Chalice,The Falcon Pinot Noir,Bronze,89,New Zealand,Marlborough,Not Applicable,2021,Red,
Lake Chalice,The Raptor Pinot Noir,Silver,92,New Zealand,Marlborough,Waihopai Valley,2021,Red,
Hunter's,Pinot Noir,Silver,90,New Zealand,Marlborough,Not Applicable,2021,Red,
Delta Estate,Chardonnay,Bronze,89,New Zealand,Marlborough,Not Applicable,2021,White,
Delta Estate,Pinot Noir,Bronze,89,New Zealand,Marlborough,Not Applicable,2021,Red,
Delta Estate,Hatters Hill Pinot Noir,Silver,92,New Zealand,Marlborough,Not Applicable,2021,Red,
Saint Clair Family Estate,Definition Pinot Noir,Bronze,87,New Zealand,Marlborough,Not Applicable,2021,Red,
Saint Clair Family Estate,Barrique Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2021,White,
Saint Clair Family Estate,Pioneer Block 10 Twin Hills Chardonnay,Silver,90,New Zealand,Marlborough,Awatere Valley,2021,White,
Saint Clair Family Estate,Pioneer Block 5 Bull Block Grüner Veltliner,Silver,90,New Zealand,Marlborough,Omaka,2021,White,
Saint Clair Family Estate,Pioneer Block 14 Doctor's Creek Pinot Noir,Silver,93,New Zealand,Marlborough,Fairhall,2021,Red,
Rapaura Springs,Rohe Pinot Noir,Silver,93,New Zealand,Marlborough,Awatere Valley,2021,Red,
Saint Clair Family Estate,Omaka Reserve Chardonnay,Silver,91,New Zealand,Marlborough,Not Applicable,2021,White,
Valli Vineyards,Pinot Noir,Platinum,97,New Zealand,Central Otago,Bannockburn,2021,Red,
Rockburn,The Chosen 777 Pinot Noir,Silver,93,New Zealand,Central Otago,Cromwell Basin,2021,Red,
Rockburn,Pinot Noir,Silver,94,New Zealand,Central Otago,Not Applicable,2021,Red,
Rockburn,The Art Pinot Noir,Silver,90,New Zealand,Central Otago,Not Applicable,2021,Red,
Rockburn,Nine Barrels Parkburn Vineyard Pinot Noir,Silver,94,New Zealand,Central Otago,Not Applicable,2021,Red,
Rockburn,The Chosen Hillside Pinot Noir,Platinum,97,New Zealand,Central Otago,Not Applicable,2021,Red,
Wild Earth Wines,Pinot Noir,Gold,96,New Zealand,Central Otago,Not Applicable,2021,Red,
Invivo,Pinot Noir,Silver,91,New Zealand,Central Otago,Not Applicable,2021,Red,
Trinity Hill,Chardonnay,Silver,91,New Zealand,Hawke's Bay,Gimblett Gravels,2021,White,
Trinity Hill,125 Gimblett Chardonnay,Silver,94,New Zealand,Hawke's Bay,Gimblett Gravels,2021,White,
Trinity Hill,The Gimblett,Gold,96,New Zealand,Hawke's Bay,Gimblett Gravels,2021,Red,
Oyster Bay,Chardonnay,Bronze,86,New Zealand,Marlborough,Not Applicable,2021,White,
Oyster Bay,Pinot Noir,Silver,90,New Zealand,Marlborough,Not Applicable,2021,Red,
Oyster Bay,Merlot,Bronze,87,New Zealand,Hawke's Bay,Not Applicable,2021,Red,
Palliser Estate,Pinot Noir,Silver,90,New Zealand,Wairarapa,Martinborough,2021,Red,
Palliser Estate,Chardonnay,Silver,92,New Zealand,Wairarapa,Martinborough,2021,White,
Palliser Estate,Om Santi Single Vineyard Chardonnay,Platinum,97,New Zealand,Wairarapa,Martinborough,2021,White,
Palliser Estate,Hua Nui Single Vineyard Pinot Noir,Best in Show,97,New Zealand,Wairarapa,Martinborough,2021,Red,
Church Road,Mcdonald Series Cabernet Sauvignon,Bronze,89,New Zealand,Hawke's Bay,Not Applicable,2018,Red,
Waipara West,N Block Chardonnay,Bronze,88,New Zealand,Waipara,Not Applicable,2019,White,
Grasshopper Rock,Earnscleugh Vineyard Pinot Noir,Bronze,89,New Zealand,Central Otago,Alexandra Basin,2019,Red,
Esk Valley,Hillside Malbec-Merlot-Cabernet Franc-Syrah,Silver,91,New Zealand,Hawke's Bay,Not Applicable,2019,Red,
Giesen Group,Organic Syrah,Silver,91,New Zealand,Marlborough,Not Applicable,2019,Red,
Giesen Group,Clayvin Single Vineyard Pinot Noir,Silver,90,New Zealand,Marlborough,Not Applicable,2019,Red,
Giesen Group,Organic Chardonnay,Silver,90,New Zealand,Marlborough,Not Applicable,2019,White,
Jackson Estate,Vintage Widow Pinot Noir,Silver,91,New Zealand,Marlborough,Not Applicable,2019,Red,
Greystone Wines,Organic Pinot Noir,Silver,93,New Zealand,Waipara,Not Applicable,2019,Red,
Kono,Tohu Pinot Noir,Silver,90,New Zealand,Marlborough,Awatere Valley,2019,Red,
Saint Clair Family Estate,Rapaura Reserve Merlot,Silver,90,New Zealand,Marlborough,Not Applicable,2019,Red,
Tarras Vineyards,The Canyon Pinot Noir,Silver,93,New Zealand,Central Otago,Bendigo,2019,Red,
Trinity Hill,Homage Syrah,Gold,96,New Zealand,Hawke's Bay,Not Applicable,2019,Red,
Palliser Estate,Hua Nui Single Vineyard Pinot Noir,Silver,94,New Zealand,Wairarapa,Martinborough,2020,Red,
Trinity Hill,Syrah,Silver,94,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Trinity Hill,Marsanne-Viognier,Silver,92,New Zealand,Hawke's Bay,Gimblett Gravels,2020,White,
Tarras Vineyards,Pinot Noir,Silver,92,New Zealand,Central Otago,Bendigo,2020,Red,
Tarras Vineyards,The Canyon Pinot Noir,Silver,90,New Zealand,Central Otago,Bendigo,2020,Red,
Saint Clair Family Estate,Pioneer Block 17 Pleatau Syrah,Silver,90,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Saint Clair Family Estate,Pioneer Block 17 Plateau Merlot,Bronze,88,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Saint Clair Family Estate,Pioneer Block 10 Twin Hills Pinot Noir,Bronze,89,New Zealand,Marlborough,Omaka,2020,Red,
Saint Clair Family Estate,Pioneer Block 28 Camp Pinot Blanc,Bronze,89,New Zealand,Marlborough,Waihopai Valley,2020,White,
Kono,Tohu Whenua Matua Single Vineyard Chardonnay,Silver,90,New Zealand,Nelson,Upper Moutere,2020,White,
Delta Estate,Pinot Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2020,White,
Mohua,Pinot Noir,Bronze,88,New Zealand,Central Otago,Not Applicable,2020,Red,
Lake Chalice,Plume Chardonnay,Platinum,97,New Zealand,Marlborough,Not Applicable,2020,White,
Tiki Wine & Vineyards,Single Vineyard Pinot Noir,Silver,94,New Zealand,Canterbury,Waipara,2020,Red,
Yealands Estate Wines,Reserve Pinot Noir,Silver,90,New Zealand,Marlborough,Not Applicable,2020,Red,
Lawson's Dry Hills,Reserve Pinot Noir,Bronze,86,New Zealand,Marlborough,Not Applicable,2020,Red,
Three Miners,Warden's Court Pinot Noir,Gold,95,New Zealand,Central Otago,Not Applicable,2020,Red,
Craggy Range,Te Kahu,Silver,94,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Craggy Range,Le Sol,Gold,95,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Craggy Range,Te Muna Road Vineyard Pinot Noir,Bronze,86,New Zealand,Wairarapa,Martinborough,2020,Red,
Craggy Range,Aroha,Silver,90,New Zealand,Wairarapa,Martinborough,2020,Red,
Greystone Wines,Organic Vineyard Ferment Pinot Noir,Silver,94,New Zealand,Waipara,Not Applicable,2020,Red,
Mt Difficulty,Pinot Noir,Silver,91,New Zealand,Central Otago,Bannockburn,2020,Red,
Martinborough Vineyard,Home Block Pinot Noir,Gold,96,New Zealand,Wairarapa,Martinborough,2020,Red,
Villa Maria,Reserve Syrah,Silver,92,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Villa Maria,Reserve Cabernet Sauvignon-Merlot,Silver,93,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Villa Maria,Single Vineyard Pinot Noir,Silver,93,New Zealand,Marlborough,Taylors Pass,2020,Red,
Giesen Group,Small Batch Chardonnay,Bronze,89,New Zealand,Marlborough,Not Applicable,2020,White,
Giesen Group,Uncharted Chardonnay,Silver,90,New Zealand,Marlborough,Not Applicable,2020,White,
Esk Valley,Artisanal Malbec-Cabernet Sauvignon-Merlot,Silver,94,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Esk Valley,Artisanal Syrah,Bronze,88,New Zealand,Hawke's Bay,Not Applicable,2020,Red,
Paddy Borthwick,Pinot Noir,Bronze,88,New Zealand,Wairarapa,Not Applicable,2020,Red,
Amisfield,Pinot Noir,Silver,92,New Zealand,Central Otago,Not Applicable,2020,Red,
Pask,Syrah,Bronze,88,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Pask,Declaration Chardonnay,Silver,93,New Zealand,Hawke's Bay,Gimblett Gravels,2020,White,
Nautilus Estate,Pinot Noir,Silver,91,New Zealand,Marlborough,Southern Valleys,2020,Red,
Nautilus Estate,Clay Hills Vineyard Pinot Noir,Silver,93,New Zealand,Marlborough,Southern Valleys,2020,Red,
Sileni Estates,Lodge Grand Reserve Chardonnay,Bronze,86,New Zealand,Hawke's Bay,Not Applicable,2020,White,
Bannock Brae,Goldfields Pinot Noir,Silver,92,New Zealand,Central Otago,Not Applicable,2020,Red,
Stoneleigh,Pinot Noir,Silver,92,New Zealand,Marlborough,Not Applicable,2020,Red,
Church Road,McDonald Series Syrah,Bronze,88,New Zealand,Hawke's Bay,Not Applicable,2020,Red,
Church Road,Grand Reserve Cabernet Sauvignon-Merlot,Silver,94,New Zealand,Hawke's Bay,Not Applicable,2020,Red,
Church Road,Grand Reserve Syrah,Silver,93,New Zealand,Hawke's Bay,Not Applicable,2020,Red,
Church Road,Grand Reserve Chardonnay,Silver,93,New Zealand,Hawke's Bay,Not Applicable,2020,White,
Church Road,1 Single Vineyard Redstone Syrah,Gold,96,New Zealand,Hawke's Bay,Bridge Pa,2020,Red,
Church Road,1 Single Vineyard Malbec,Gold,95,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Church Road,1 Single Vineyard Merlot,Gold,95,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Church Road,1 Single Vineyard Cabernet Sauvignon,Bronze,89,New Zealand,Hawke's Bay,Gimblett Gravels,2020,Red,
Spy Valley,Pinot Noir,Silver,90,New Zealand,Marlborough,Southern Valleys,2020,Red,
Wooing Tree,Pinot Noir,Bronze,88,New Zealand,Central Otago,Not Applicable,2020,Red,
Clocktower,Pinot Noir,Bronze,88,New Zealand,Marlborough,Not Applicable,2020,Red,
Te Kano Estate,Pinot Noir,Bronze,89,New Zealand,Central Otago,Not Applicable,2020,Red,
Vidal,Reserve Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Spy Valley Wines,Satellite Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,White,
Spy Valley Wines,Easy Tiger Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Waihopai Valley,2022,White,
Spy Valley Wines,Pinot Noir,Silver,91,New Zealand,Marlborough,Waihopai Valley,2022,Rosé,
Spy Valley Wines,Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Wairau Valley,2022,White,
Spy Valley,Pinot Gris,Bronze,89,New Zealand,Marlborough,Waihopai Valley,2022,White,
Spy Valley Wines,E Block Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2022,White,
Stoneleigh,Latitude Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Stoneleigh,Latitude Chardonnay,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Stoneleigh,Rapaura Series Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Stoneleigh,Rapaura Series Chardonnay,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Stoneleigh,Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Eradus Wines,Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Awatere Valley,2022,White,
The Hunting Lodge,Homeblock Albarino,Bronze,89,New Zealand,Auckland,Waimauku,2022,White,
Awatere River Wines,Sauvignon Blanc,Gold,95,New Zealand,Marlborough,Not Applicable,2022,White,
Sileni Estates,Cellar Selection Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Sileni Estates,Sauvignon Blanc,Silver,91,New Zealand,Nelson,Not Applicable,2022,White,
Sileni Estates,Waimea Rosé,Bronze,89,New Zealand,Nelson,Not Applicable,2022,Rosé,
Te P? Family Vineards,Hillside Reserve Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Awatere Valley,2022,White,
Montford Estate,Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Montford Estate,Rosé,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,Rosé,
Te P? Family Vineyards,Chardonnay,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Te P? Family Vineyards,Sauvignon Blanc,Gold,95,New Zealand,Marlborough,Not Applicable,2022,White,
Amisfield,Sauvignon Blanc,Gold,95,New Zealand,Central Otago,Not Applicable,2022,White,
Esk Valley,Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Esk Valley,Artisanal Chardonnay,Bronze,87,New Zealand,Hawke's Bay,Not Applicable,2022,White,
Giesen Group,Organic Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Giesen Group,Uncharted Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Giesen Group,Estate Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Leftfield,Harvest Duel Albariño,Silver,91,New Zealand,Gisborne,Not Applicable,2022,White,
Leftfield,Moon Shell Moth Rosé,Gold,95,New Zealand,Hawke's Bay,Not Applicable,2022,Rosé,
Giesen Group,Ara Single Estate Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Giesen Group,Small Batch Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Villa Maria,Reserve Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Wairau Valley,2022,White,
Villa Maria,Single Vineyard Bankhouse Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Waihopai Valley,2022,White,
Villa Maria,Single Vineyard Seaspray Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Awatere Valley,2022,White,
Villa Maria,Cellar Selection Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Villa Maria,Earthgarden Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Villa Maria,Private Bin Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Villa Maria,Private Bin Riesling,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Villa Maria,Private Bin Pinot Grigio,Bronze,87,New Zealand,East Coast,Not Applicable,2022,White,
Villa Maria,Single Vineyard Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Taylors Pass,2022,White,
Villa Maria,EarthGarden Pinot Noir,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,Red,
Castlebrae,Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Jackson Estate,Stich Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Vavasour,Sauvignon Blanc,Gold,95,New Zealand,Marlborough,Awatere Valley,2022,White,
Vavasour,Papa Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Awatere Valley,2022,White,
Grove Mill,Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Wairau Valley,2022,White,
Craggy Range,Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Dashwood,Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Craggy Range,Te Muna Sauvignon Blanc,Silver,91,New Zealand,Wairarapa,Martinborough,2022,White,
Mora Wines,Rua Pinot Noir,Silver,91,New Zealand,Central Otago,Not Applicable,2022,Red,
Brancott Estate,Reserve Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Awatere Valley,2022,White,
Brancott Estate,Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Brancott Estate,Letter Series B Sauvignon Blanc,Gold,95,New Zealand,Marlborough,Not Applicable,2022,White,
Urlar,Organic Sauvignon Blanc,Gold,96,New Zealand,Wairarapa,East Taratahi/Gladstone,2022,White,
Mc Arthur Ridge,Brassknocker Pinot Noir,Silver,90,New Zealand,Central Otago,Alexandra Basin,2022,Red,
Lawson's Dry Hills,Inviniti Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Lawson's Dry Hills,Mount Vernon Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Red Wood Pass,2022,White,
Lawson's Dry Hills,Blind River Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Awatere Valley,2022,White,
Lawson's Dry Hills,Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Lawson's Dry Hills,Reserve Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Yealands Estate Wines,Reserve Gruner Veltliner,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Forrest Wines,Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,White,
Tiki Wine & Vineyards,Single Vineyard Sauvignon Blanc,Bronze,89,New Zealand,Canterbury,Waipara,2022,White,
Tiki Wine & Vineyards,Maui Sauvignon Blanc,Bronze,86,New Zealand,Canterbury,Waipara,2022,White,
Seifried Estate,Aotea Sauvignon Blanc,Silver,91,New Zealand,Nelson,Not Applicable,2022,White,
Seifried Estate,Old Coach Road Sauvignon Blanc,Bronze,88,New Zealand,Nelson,Not Applicable,2022,White,
Seifried Estate,Sauvignon Blanc,Silver,92,New Zealand,Nelson,Not Applicable,2022,White,
Yealands Estate Wines,Single Vineyard Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Awatere Valley,2022,White,
Yealands Estate Wines,Single Block S1 Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Awatere Valley,2022,White,
Yealands Estate Wines,Single Block L5 Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Awatere Valley,2022,White,
Yealands Estate Wines,Single Vineyard P.G.R,Silver,90,New Zealand,Marlborough,Awatere Valley,2022,White,
Yealands Estate Wines,Single Vineyard Albarino,Silver,93,New Zealand,Marlborough,Awatere Valley,2022,White,
Small and Small,Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Forrest Wines,The Doctors Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,White,
Catalina Sounds,Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Waihopai Valley,2022,White,
Flying Kiwi,Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Crowded House,Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2022,White,
Catalina Sounds,Pinot Gris,Bronze,88,New Zealand,Marlborough,Waihopai Valley,2022,White,
Delta Estates,Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Lake Chalice,The Raptor Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Lake Chalice,The Falcon Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Not Applicable,2022,White,
Lake Chalice,The Nest Sauvignon Blanc,Gold,95,New Zealand,Marlborough,Not Applicable,2022,White,
Marisco Vineyards,Emma Marris Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Not Applicable,2022,White,
Marisco Vineyards,The King's Favour Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2022,White,
Marisco Vineyards,The Ned Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Southern Valleys,2022,White,
Marisco Vineyards,The Ned Pinnacle Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Waihopai Valley,2022,White,
Marisco Vineyards,The Ned Skyscraper Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Waihopai Valley,2022,White,
Marisco Vineyards,Leefield Station Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2022,White,
Delta Estate,Hatters Hill Sauvignon Blanc,Silver,94,New Zealand,Marlborough,Not Applicable,2022,White,
Kono,Tohu Pinot Gris,Silver,91,New Zealand,Marlborough,Awatere Valley,2022,White,
